Identificador,Administracion,Estrato,Antiguedad,Remodelado,Area,habitaciones,Banos,Garajes,Elevadores,Inmueble,Parqueadero,Precio
328,200500,3,25,No,57,3,2,0,0,Apartamento,Si,225000000
131,55000,2,14,No,39,2,1,0,0,Apartamento,Si,120060018
123,125400,3,15,Si,49,3,1,0,0,Apartamento,Si,193000000
410,352000,6,35,Si,71,3,2,1,1,Apartamento,No,358000000
4,529000,4,30,Si,77,2,2,1,1,Apartamento,No,444200000
44,125300,3,2,Si,46,2,1,0,1,Apartamento,No,160400000
206,539000,5,5,No,100,3,3,1,1,Apartamento,Si,626000000
121,327000,3,18,No,75,2,2,1,0,Apartamento,Si,317000000
326,109000,2,28,No,52,2,1,0,0,Apartamento,Si,160000000
445,188000,3,22,No,62,3,2,1,0,Apartamento,Si,274000000
347,124200,3,9,No,54,3,2,0,2,Apartamento,No,196000000
198,65000,2,12,No,48,3,2,0,0,Apartamento,Si,136500000
96,177000,4,12,No,51,3,1,0,0,Apartamento,Si,211060000
412,461000,5,34,No,72,3,2,1,1,Apartamento,Si,360000000
3,226000,4,24,Si,72,3,2,1,2,Apartamento,Si,334000000
226,200000,4,1,Si,39,1,1,0,2,Apartamento,Si,253000000
75,145500,3,8,Si,62,3,2,0,3,Apartamento,Si,190000000
476,55000,2,17,No,50,3,1,0,0,Apartamento,No,127000000
282,160600,4,12,No,61,3,2,0,0,Apartamento,Si,255000000
432,40000,2,8,No,38,2,1,0,0,Apartamento,Si,93000000
407,58000,2,5,No,48,3,1,0,0,Apartamento,Si,127700000
363,72700,3,19,Si,52,2,2,0,0,Apartamento,Si,182000000
281,102000,2,6,Si,47,2,1,0,1,Apartamento,No,166000000
189,205000,4,6,Si,53,3,2,1,1,Apartamento,No,339870000
163,167000,3,11,Si,50,3,2,0,1,Apartamento,Si,180000000
198,65000,2,12,No,48,3,2,0,0,Apartamento,Si,136500000
64,70000,2,8,No,46,3,1,0,1,Apartamento,No,140000000
123,125400,3,15,Si,49,3,1,0,0,Apartamento,Si,193000000
415,377000,4,11,No,73,3,2,1,2,Apartamento,Si,415000000
205,127000,3,12,Si,54,3,2,0,1,Apartamento,Si,219000000
199,893000,6,30,No,143,4,4,2,1,Apartamento,No,700000000
438,405700,4,8,No,105,3,2,1,3,Apartamento,Si,535000000
78,150000,2,10,Si,52,3,2,0,0,Apartamento,Si,170000000
38,110000,3,4,Si,41,2,1,0,1,Apartamento,Si,178200000
268,120000,3,20,Si,82,4,2,0,0,Casa con conjunto cerrado,Si,275000000
409,350000,4,15,No,90,3,2,2,1,Apartamento,Si,470000000
55,50000,3,17,Si,62,3,2,0,1,Apartamento,Si,244100000
249,470000,4,19,No,95,3,3,1,1,Apartamento,Si,739375000
106,117000,3,1,Si,42,2,1,0,1,Apartamento,Si,195350000
264,500000,4,35,No,143,3,3,1,0,Apartamento,No,615000000
415,377000,4,11,No,73,3,2,1,2,Apartamento,Si,415000000
393,300000,4,25,No,95,3,3,1,1,Apartamento,Si,510000000
155,74000,3,16,No,44,2,1,0,0,Casa con conjunto cerrado,Si,163800000
405,400000,4,28,No,96,3,2,1,1,Apartamento,Si,486000000
411,53000,1,6,Si,47,3,1,0,0,Apartamento,Si,124500000
37,170000,3,10,Si,54,3,2,0,1,Apartamento,Si,192700000
213,58000,3,20,No,68,3,2,0,0,Casa con conjunto cerrado,No,241430000
225,58000,2,14,No,44,2,1,0,0,Apartamento,No,123290000
311,50000,2,7,Si,44,2,1,0,0,Apartamento,Si,98000000
277,78300,2,14,No,47,3,1,0,0,Apartamento,No,134000000
369,138000,3,7,No,64,3,2,1,1,Apartamento,No,355000000
26,227000,3,4,No,77,3,2,1,4,Apartamento,Si,353300000
113,67000,1,15,No,49,3,1,0,0,Apartamento,Si,155085000
108,88200,2,11,No,48,3,1,0,0,Apartamento,Si,110300000
386,72000,2,21,No,45,2,1,0,0,Casa con conjunto cerrado,No,165000000
64,70000,2,8,No,46,3,1,0,1,Apartamento,No,140000000
418,240800,3,32,No,54,2,1,1,0,Apartamento,No,230000000
331,67000,3,17,No,41,2,1,0,0,Casa,No,145800000
23,74000,4,5,No,31,1,1,0,1,Apartamento,Si,186000000
127,204000,3,2,Si,52,3,2,1,1,Apartamento,Si,244706000
417,67500,2,13,No,47,3,1,0,0,Apartamento,No,155000000
294,139000,2,10,Si,45,3,2,0,1,Apartamento,Si,186000000
59,635000,6,5,Si,77,2,3,1,1,Apartamento,No,600000000
107,119900,2,8,No,46,3,1,0,1,Apartamento,No,132460000
32,50000,3,17,Si,40,2,1,0,0,Casa con conjunto cerrado,Si,118900000
427,516200,6,17,Si,71,2,2,2,1,Apartamento,Si,492000000
186,216900,3,15,Si,67,3,2,1,0,Apartamento,Si,262000000
108,88200,2,11,No,48,3,1,0,0,Apartamento,Si,110300000
409,350000,4,15,No,90,3,2,2,1,Apartamento,Si,470000000
138,70000,2,26,No,60,3,2,0,0,Apartamento,No,150000000
52,298000,4,32,Si,74,3,2,1,0,Apartamento,Si,274000000
212,87700,2,10,No,46,2,1,0,0,Apartamento,Si,155000000
415,377000,4,11,No,73,3,2,1,2,Apartamento,Si,415000000
123,125400,3,15,Si,49,3,1,0,0,Apartamento,Si,193000000
